死因,年,月,年月日,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80歳以上,不詳,合計
Se23 脳内出血,2012,4,2012-04-01,1,1,3,0,0,4,1,11,31,47,65,129,231,193,260,411,521,474,273,98,11,2,3,4,12,78,194,424,671,1377,3,2768
Se24 脳梗塞,2012,4,2012-04-01,0,0,0,0,1,1,0,1,6,9,17,25,107,188,353,682,1199,1465,1187,584,130,0,0,2,1,15,42,295,1035,4565,0,5955
Se25 大動脈瘤及び解離,2012,4,2012-04-01,0,0,0,0,1,2,2,6,11,7,22,34,72,86,140,198,266,249,148,47,8,0,0,3,8,18,56,158,338,718,0,1299
Se26 肺炎,2012,4,2012-04-01,8,0,0,3,2,4,5,4,9,29,35,62,172,288,494,1120,1975,2541,2099,1037,278,8,3,6,9,38,97,460,1614,7930,0,10165
Se27 慢性閉塞性肺疾患,2012,4,2012-04-01,0,0,0,0,0,0,0,0,1,1,1,6,31,50,86,235,343,380,184,57,8,0,0,0,0,2,7,81,321,972,0,1383
Se28 喘息,2012,4,2012-04-01,1,0,0,0,0,1,0,2,1,3,4,4,2,3,12,16,26,42,24,21,1,1,0,1,2,4,8,5,28,114,0,163
Se29 肝疾患,2012,4,2012-04-01,1,0,1,0,1,0,3,15,40,50,72,95,140,143,185,183,172,104,49,17,2,1,1,1,18,90,167,283,368,344,3,1276
Se30 腎不全,2012,4,2012-04-01,0,0,0,0,0,0,0,1,3,4,15,18,64,74,151,261,420,536,356,198,25,0,0,0,1,7,33,138,412,1535,0,2126
Se31 老衰,2012,4,2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,108,435,960,1485,1321,540,0,0,0,0,0,0,7,134,4741,0,4882
Se32 不慮の事故,2012,4,2012-04-01,22,6,9,20,34,33,45,35,73,57,94,87,168,216,294,433,562,476,326,107,18,28,29,67,80,130,181,384,727,1489,4,3119
Se33 交通事故,2012,4,2012-04-01,7,4,4,18,20,13,19,10,30,15,30,19,36,49,38,62,50,23,14,2,0,11,22,33,29,45,49,85,100,89,0,463
Se34 自殺,2012,4,2012-04-01,0,0,2,43,107,155,150,173,178,193,207,180,203,177,162,142,93,59,24,3,0,0,45,262,323,371,387,380,304,179,12,2263
総数,2012,5,2012-05-01,264,52,41,127,220,269,328,578,877,1157,1748,2785,5512,6404,9009,13028,17380,18226,13223,6350,1652,316,168,489,906,2034,4533,11916,22037,56831,46,99276
Se01 結核,2012,5,2012-05-01,0,0,0,0,0,0,0,0,0,2,1,4,7,8,11,22,36,46,29,5,0,0,0,0,0,2,5,15,33,116,0,171
Se02 悪性新生物＜腫瘍＞,2012,5,2012-05-01,12,7,10,14,16,27,60,125,242,376,711,1315,2717,3222,4099,5009,5281,4042,1979,553,82,19,24,43,185,618,2026,5939,9108,11937,0,29899
Se03 食道の悪性新生物＜腫瘍＞,2012,5,2012-05-01,0,0,0,0,0,0,0,2,2,17,33,49,136,197,186,148,130,73,33,7,1,0,0,0,2,19,82,333,334,244,0,1014
Se04 胃の悪性新生物＜腫瘍＞,2012,5,2012-05-01,0,0,0,0,1,1,10,18,32,54,76,182,373,429,568,693,736,584,283,67,12,0,0,2,28,86,258,802,1261,1682,0,4119
Se05 結腸の悪性新生物＜腫瘍＞,2012,5,2012-05-01,0,0,0,0,1,2,8,12,23,34,49,100,226,250,328,379,479,417,260,80,15,0,0,3,20,57,149,476,707,1251,0,2663
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,2012,5,2012-05-01,0,0,0,0,0,0,1,6,5,18,49,85,167,154,175,184,164,109,72,21,4,0,0,0,7,23,134,321,359,370,0,1214
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,2012,5,2012-05-01,2,0,2,0,0,1,1,5,7,13,48,106,210,266,391,519,470,305,128,25,3,2,2,1,6,20,154,476,910,931,0,2502
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,2012,5,2012-05-01,0,0,0,0,0,0,1,1,4,5,15,36,81,123,167,273,297,285,151,43,7,0,0,0,2,9,51,204,440,783,0,1489
Se09 膵の悪性新生物＜腫瘍＞,2012,5,2012-05-01,0,0,0,0,0,0,2,6,14,22,63,116,236,298,359,430,402,340,128,38,4,0,0,0,8,36,179,534,789,912,0,2458
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,2012,5,2012-05-01,0,0,0,0,0,3,3,9,31,51,90,213,503,678,891,1083,1130,768,316,96,16,0,0,3,12,82,303,1181,1974,2326,0,5881
Se11 乳房の悪性新生物＜腫瘍＞,2012,5,2012-05-01,0,0,0,0,0,2,4,17,38,54,93,126,158,144,103,96,94,83,45,21,3,0,0,2,21,92,219,302,199,246,0,1081
Se12 子宮の悪性新生物＜腫瘍＞,2012,5,2012-05-01,0,0,0,0,0,1,5,15,16,24,33,39,62,44,54,65,67,55,27,10,0,0,0,1,20,40,72,106,119,159,0,517
Se13 白血病,2012,5,2012-05-01,3,1,2,4,2,3,5,4,9,9,21,30,45,66,99,104,110,73,26,5,0,4,6,5,9,18,51,111,203,214,0,621
Se14 糖尿病,2012,5,2012-05-01,0,0,0,0,1,0,2,5,14,16,13,40,79,92,123,199,203,224,116,39,5,0,0,1,7,30,53,171,322,587,0,1171
Se15 高血圧性疾患,2012,5,2012-05-01,0,0,0,0,0,0,0,0,2,3,5,7,18,16,23,44,72,125,115,73,23,0,0,0,0,5,12,34,67,408,1,527
Se16 心疾患（高血圧性を除く）,2012,5,2012-05-01,10,4,1,9,10,20,35,67,111,135,219,353,645,747,1073,1700,2604,3188,2593,1288,271,14,10,30,102,246,572,1392,2773,9944,4,15087
Se17 急性心筋梗塞,2012,5,2012-05-01,0,0,0,1,1,2,2,20,29,44,61,111,206,220,283,437,595,592,362,131,22,0,1,3,22,73,172,426,720,1702,1,3120
Se18 その他の虚血性心疾患,2012,5,2012-05-01,0,0,0,0,0,2,7,18,24,30,55,82,155,175,232,361,477,444,304,147,25,0,0,2,25,54,137,330,593,1397,2,2540
Se19 不整脈及び伝導障害,2012,5,2012-05-01,2,0,0,4,7,6,11,15,24,17,42,54,104,106,131,235,343,472,357,143,23,2,4,13,26,41,96,210,366,1338,1,2097
Se20 心不全,2012,5,2012-05-01,1,1,0,3,1,6,8,8,20,24,37,64,117,156,287,478,899,1287,1311,748,170,2,3,7,16,44,101,273,765,4415,0,5626
Se21 脳血管疾患,2012,5,2012-05-01,2,1,1,0,3,3,15,29,74,83,150,214,440,473,754,1218,1751,2036,1557,726,147,3,1,6,44,157,364,913,1972,6217,1,9678
Se22 くも膜下出血,2012,5,2012-05-01,1,0,0,0,1,3,6,12,30,39,62,65,90,84,122,120,149,125,68,27,5,1,0,4,18,69,127,174,242,374,0,1009
Se23 脳内出血,2012,5,2012-05-01,0,1,1,0,2,0,8,12,37,32,72,106,216,201,270,375,477,431,285,97,15,1,1,2,20,69,178,417,645,1305,0,2638
Se24 脳梗塞,2012,5,2012-05-01,1,0,0,0,0,0,1,3,6,9,15,32,120,180,345,696,1077,1438,1164,584,125,1,0,0,4,15,47,300,1041,4388,1,5797
Se25 大動脈瘤及び解離,2012,5,2012-05-01,0,0,0,0,0,1,0,5,8,5,20,19,43,62,125,182,266,263,122,43,5,0,0,1,5,13,39,105,307,699,0,1169
Se26 肺炎,2012,5,2012-05-01,10,5,3,1,1,0,5,3,9,15,32,67,160,270,502,1065,1874,2392,1880,932,260,15,4,1,8,24,99,430,1567,7338,1,9487
Se27 慢性閉塞性肺疾患,2012,5,2012-05-01,0,0,0,0,1,0,0,0,0,3,4,10,19,46,92,195,364,337,188,48,6,0,0,1,0,3,14,65,287,943,0,1313
Se28 喘息,2012,5,2012-05-01,0,0,0,0,0,0,1,1,2,2,3,2,4,8,5,18,26,41,22,15,3,0,0,0,2,4,5,12,23,107,0,153
Se29 肝疾患,2012,5,2012-05-01,1,0,0,0,0,1,5,10,41,67,82,90,162,140,175,179,163,116,55,17,3,1,0,1,15,108,172,302,354,354,0,1307
Se30 腎不全,2012,5,2012-05-01,0,1,0,0,0,0,1,3,5,5,5,28,52,67,116,250,388,467,396,159,35,1,0,0,4,10,33,119,366,1445,0,1978
Se31 老衰,2012,5,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,8,19,120,351,878,1347,1133,493,0,0,0,0,0,0,9,139,4202,0,4350
Se32 不慮の事故,2012,5,2012-05-01,21,10,7,24,36,29,27,42,44,54,73,104,190,179,271,364,550,453,279,117,25,31,31,65,69,98,177,369,635,1424,6,2905
Se33 交通事故,2012,5,2012-05-01,8,5,2,18,22,14,14,16,18,11,18,25,38,46,58,62,51,33,7,2,0,13,20,36,30,29,43,84,120,93,0,468
Se34 自殺,2012,5,2012-05-01,0,0,4,59,128,139,125,182,204,213,189,178,226,194,173,149,103,63,34,12,2,0,63,267,307,417,367,420,322,214,11,2388
総数,2012,6,2012-06-01,243,36,34,101,202,265,322,513,787,1091,1559,2539,5219,6005,8216,11867,15939,16668,11828,5951,1510,279,135,467,835,1878,4098,11224,20083,51896,40,90935
Se01 結核,2012,6,2012-06-01,0,0,0,0,0,0,0,0,0,0,1,4,7,6,19,23,40,54,27,9,3,0,0,0,0,0,5,13,42,133,0,193
Se02 悪性新生物＜腫瘍＞,2012,6,2012-06-01,12,10,8,4,16,35,56,128,237,397,647,1208,2753,3111,3820,4739,5132,3867,1875,586,91,22,12,51,184,634,1855,5864,8559,11551,0,28732
Se03 食道の悪性新生物＜腫瘍＞,2012,6,2012-06-01,0,0,0,0,0,0,0,1,4,13,28,57,133,156,154,158,101,77,27,11,2,0,0,0,1,17,85,289,312,218,0,922
Se04 胃の悪性新生物＜腫瘍＞,2012,6,2012-06-01,0,0,0,1,0,2,6,16,31,47,67,181,380,381,553,611,691,522,296,89,7,0,1,2,22,78,248,761,1164,1605,0,3881
Se05 結腸の悪性新生物＜腫瘍＞,2012,6,2012-06-01,0,0,0,0,1,4,5,7,23,33,55,89,203,228,296,411,434,414,228,77,19,0,0,5,12,56,144,431,707,1172,0,2527
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,2012,6,2012-06-01,0,0,0,0,1,0,2,8,12,23,46,63,167,144,198,185,175,121,76,20,1,0,0,1,10,35,109,311,383,393,0,1242
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,2012,6,2012-06-01,0,1,0,0,1,2,0,4,8,17,42,95,232,266,320,487,452,277,133,24,6,1,0,3,4,25,137,498,807,892,0,2367
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,2012,6,2012-06-01,0,0,0,0,1,0,1,1,5,10,9,31,97,120,157,234,326,272,149,57,9,0,0,1,2,15,40,217,391,813,0,1479
Se09 膵の悪性新生物＜腫瘍＞,2012,6,2012-06-01,0,0,0,0,0,1,2,4,12,20,55,112,246,277,353,409,422,303,125,41,5,0,0,1,6,32,167,523,762,896,0,2387
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,2012,6,2012-06-01,0,0,0,0,0,0,2,15,20,56,81,194,500,696,801,1025,1154,758,309,90,15,0,0,0,17,76,275,1196,1826,2326,0,5716
Se11 乳房の悪性新生物＜腫瘍＞,2012,6,2012-06-01,0,0,0,0,0,4,5,17,37,51,78,109,158,131,122,97,78,72,45,18,6,0,0,4,22,88,187,289,219,219,0,1028
Se12 子宮の悪性新生物＜腫瘍＞,2012,6,2012-06-01,0,0,0,0,0,2,2,17,25,30,38,37,71,64,55,43,56,52,29,7,0,0,0,2,19,55,75,135,98,144,0,528
Se13 白血病,2012,6,2012-06-01,6,2,2,2,5,9,7,8,8,12,9,36,54,85,79,98,107,71,22,5,2,8,4,14,15,20,45,139,177,207,0,629
Se14 糖尿病,2012,6,2012-06-01,0,0,1,0,0,0,0,3,4,8,13,42,56,91,125,164,186,180,118,37,7,0,1,0,3,12,55,147,289,528,0,1035
Se15 高血圧性疾患,2012,6,2012-06-01,0,0,0,0,0,0,0,0,3,3,6,2,11,11,24,48,60,91,105,66,23,0,0,0,0,6,8,22,72,345,1,454
Se16 心疾患（高血圧性を除く）,2012,6,2012-06-01,8,3,1,6,9,11,20,60,93,136,196,264,557,626,895,1439,2192,2681,2207,1121,283,11,7,20,80,229,460,1183,2334,8484,2,12810
Se17 急性心筋梗塞,2012,6,2012-06-01,0,0,0,0,1,2,1,13,25,47,78,72,167,178,244,372,487,487,327,109,18,0,0,3,14,72,150,345,616,1428,0,2628
Se18 その他の虚血性心疾患,2012,6,2012-06-01,0,0,0,0,3,2,4,15,20,30,35,76,150,151,201,300,376,376,272,105,19,0,0,5,19,50,111,301,501,1148,1,2136
Se19 不整脈及び伝導障害,2012,6,2012-06-01,2,0,0,3,3,2,8,12,20,25,32,43,85,94,153,228,344,391,295,127,39,2,3,5,20,45,75,179,381,1196,0,1906
Se20 心不全,2012,6,2012-06-01,3,0,0,2,2,3,5,14,12,16,36,43,101,119,193,387,754,1125,1095,666,189,3,2,5,19,28,79,220,580,3829,1,4766
Se21 脳血管疾患,2012,6,2012-06-01,0,0,1,1,1,5,8,31,48,88,118,181,350,417,677,1087,1634,1908,1374,708,133,0,2,6,39,136,299,767,1764,5757,0,8770
Se22 くも膜下出血,2012,6,2012-06-01,0,0,0,1,0,0,4,9,29,35,46,51,74,80,95,109,183,120,64,25,2,0,1,0,13,64,97,154,204,394,0,927
Se23 脳内出血,2012,6,2012-06-01,0,0,1,0,1,4,4,19,16,45,56,90,184,189,254,373,435,417,217,95,12,0,1,5,23,61,146,373,627,1176,0,2412
Se24 脳梗塞,2012,6,2012-06-01,0,0,0,0,0,0,0,3,2,6,15,32,80,139,310,580,980,1337,1074,574,116,0,0,0,3,8,47,219,890,4081,0,5248
Se25 大動脈瘤及び解離,2012,6,2012-06-01,0,0,0,0,1,2,0,3,13,12,17,26,52,65,87,138,257,224,121,49,2,0,0,3,3,25,43,117,225,653,0,1069
Se26 肺炎,2012,6,2012-06-01,5,3,1,4,6,4,5,9,11,20,22,72,127,237,486,972,1687,2231,1673,849,193,8,5,10,14,31,94,364,1458,6633,0,8617
Se27 慢性閉塞性肺疾患,2012,6,2012-06-01,0,0,0,0,0,0,1,0,0,3,3,8,26,45,81,197,321,282,134,56,12,0,0,0,1,3,11,71,278,805,0,1169
Se28 喘息,2012,6,2012-06-01,0,0,0,0,0,0,2,3,3,1,1,0,4,6,8,14,24,34,18,5,3,0,0,0,5,4,1,10,22,84,0,126
Se29 肝疾患,2012,6,2012-06-01,1,0,0,0,0,0,4,12,25,48,62,81,146,134,130,162,171,112,40,8,5,1,0,0,16,73,143,280,292,336,1,1142
Se30 腎不全,2012,6,2012-06-01,1,0,0,0,1,0,0,3,4,6,8,21,44,59,115,210,364,430,310,147,30,1,0,1,3,10,29,103,325,1281,0,1753
Se31 老衰,2012,6,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,2,8,27,99,344,844,1245,1100,460,0,0,0,0,0,0,10,126,3993,0,4129
Se32 不慮の事故,2012,6,2012-06-01,19,7,8,29,34,36,33,43,46,46,64,91,134,158,234,331,409,399,226,114,28,26,37,70,76,92,155,292,565,1176,3,2492
Se33 交通事故,2012,6,2012-06-01,4,2,3,23,24,18,9,16,22,18,18,18,36,29,45,62,48,29,12,0,0,6,26,42,25,40,36,65,107,89,0,436
Se34 自殺,2012,6,2012-06-01,0,0,6,36,106,118,146,141,180,182,171,181,222,189,161,138,119,58,20,8,0,0,42,224,287,362,352,411,299,205,6,2188
総数,2012,7,2012-07-01,239,43,33,146,206,254,326,572,859,1082,1726,2687,5318,6337,8561,12332,16457,17247,12479,6130,1494,282,179,460,898,1941,4413,11655,20893,53807,60,94588
Se01 結核,2012,7,2012-07-01,0,0,0,0,0,0,0,0,0,1,1,3,4,7,10,24,42,42,34,11,0,0,0,0,0,1,4,11,34,129,0,179
Se02 悪性新生物＜腫瘍＞,2012,7,2012-07-01,4,5,8,17,13,32,54,130,250,358,689,1254,2724,3267,4052,4922,5325,4129,2010,602,68,9,25,45,184,608,1943,5991,8974,12134,1,29914
Se03 食道の悪性新生物＜腫瘍＞,2012,7,2012-07-01,0,0,0,0,0,0,0,1,3,9,19,50,132,154,174,154,127,80,27,4,1,0,0,0,1,12,69,286,328,239,0,935
Se04 胃の悪性新生物＜腫瘍＞,2012,7,2012-07-01,0,0,0,0,1,6,6,17,33,46,87,156,340,424,556,655,707,604,296,86,5,0,0,7,23,79,243,764,1211,1698,0,4025
Se05 結腸の悪性新生物＜腫瘍＞,2012,7,2012-07-01,0,0,0,2,0,1,4,9,20,22,43,91,224,265,320,400,454,394,269,83,11,0,2,1,13,42,134,489,720,1211,0,2612
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,2012,7,2012-07-01,0,0,0,0,0,1,4,3,11,16,39,79,155,169,185,185,190,132,67,25,2,0,0,1,7,27,118,324,370,416,0,1263
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,2012,7,2012-07-01,0,0,0,1,0,0,2,6,10,13,55,118,209,291,387,529,503,299,133,35,3,0,1,0,8,23,173,500,916,973,0,2594
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,2012,7,2012-07-01,0,0,0,0,0,0,0,2,5,8,15,25,99,138,196,251,295,252,157,55,3,0,0,0,2,13,40,237,447,762,0,1501
Se09 膵の悪性新生物＜腫瘍＞,2012,7,2012-07-01,0,0,0,0,0,0,0,3,22,24,65,91,260,319,349,434,433,315,145,33,4,0,0,0,3,46,156,579,783,930,0,2497
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,2012,7,2012-07-01,0,0,0,0,0,3,5,9,21,40,81,211,537,677,858,1042,1151,876,325,103,11,0,0,3,14,61,292,1214,1900,2466,0,5950
Se11 乳房の悪性新生物＜腫瘍＞,2012,7,2012-07-01,0,0,0,0,0,4,6,15,49,67,79,118,153,125,112,94,93,94,39,19,2,0,0,4,21,116,197,278,206,247,0,1069
Se12 子宮の悪性新生物＜腫瘍＞,2012,7,2012-07-01,0,0,0,0,0,0,5,13,25,21,31,43,67,60,54,56,63,45,22,6,1,0,0,0,18,46,74,127,110,137,0,512
Se13 白血病,2012,7,2012-07-01,1,2,4,4,4,2,3,9,6,13,18,31,52,61,88,126,98,68,30,7,0,3,8,6,12,19,49,113,214,203,0,627
Se14 糖尿病,2012,7,2012-07-01,0,0,0,0,0,0,1,3,3,16,21,22,71,87,100,152,190,167,114,46,6,0,0,0,4,19,43,158,252,523,0,999
Se15 高血圧性疾患,2012,7,2012-07-01,0,0,0,0,0,0,0,0,1,3,10,7,23,22,30,57,85,113,100,70,17,0,0,0,0,4,17,45,87,385,3,541
Se16 心疾患（高血圧性を除く）,2012,7,2012-07-01,7,3,1,7,10,12,26,46,83,124,202,303,619,710,909,1573,2267,2860,2317,1190,305,10,8,22,72,207,505,1329,2482,8939,5,13579
Se17 急性心筋梗塞,2012,7,2012-07-01,0,0,0,1,2,1,4,13,19,40,62,98,201,201,267,376,463,498,302,122,31,0,1,3,17,59,160,402,643,1416,2,2703
Se18 その他の虚血性心疾患,2012,7,2012-07-01,2,1,0,1,1,2,2,9,27,32,47,84,164,193,219,324,415,417,232,127,34,3,1,3,11,59,131,357,543,1225,3,2336
Se19 不整脈及び伝導障害,2012,7,2012-07-01,1,0,0,1,4,0,5,8,13,23,31,46,101,102,128,245,343,427,344,133,21,1,1,4,13,36,77,203,373,1268,0,1976
Se20 心不全,2012,7,2012-07-01,0,1,0,2,1,5,10,12,14,13,37,46,94,124,200,448,783,1167,1156,692,195,1,2,6,22,27,83,218,648,3993,0,5000
Se21 脳血管疾患,2012,7,2012-07-01,3,0,1,3,4,6,12,35,80,77,122,180,325,442,717,1111,1702,1854,1409,672,130,3,4,10,47,157,302,767,1828,5767,1,8886
Se22 くも膜下出血,2012,7,2012-07-01,0,0,0,1,2,5,3,15,37,37,38,59,90,85,113,125,152,117,72,21,3,0,1,7,18,74,97,175,238,365,0,975
Se23 脳内出血,2012,7,2012-07-01,3,0,0,2,2,0,6,17,36,31,67,89,141,180,239,340,425,381,248,93,18,3,2,2,23,67,156,321,579,1165,0,2318
Se24 脳梗塞,2012,7,2012-07-01,0,0,0,0,0,0,1,1,7,6,14,26,84,165,339,629,1092,1319,1061,547,108,0,0,0,2,13,40,249,968,4127,1,5400
Se25 大動脈瘤及び解離,2012,7,2012-07-01,0,0,0,0,0,0,2,2,5,10,13,31,53,62,108,162,213,212,118,25,3,0,0,0,4,15,44,115,270,571,0,1019
Se26 肺炎,2012,7,2012-07-01,8,1,0,2,1,5,4,7,11,15,23,54,143,231,426,955,1678,2174,1711,840,200,9,2,6,11,26,77,374,1381,6603,2,8491
Se27 慢性閉塞性肺疾患,2012,7,2012-07-01,0,0,0,0,0,0,0,1,0,1,3,5,16,45,99,214,356,337,164,39,5,0,0,0,1,1,8,61,313,901,0,1285
Se28 喘息,2012,7,2012-07-01,0,0,0,0,0,0,0,1,0,2,2,2,1,3,7,16,22,15,21,5,2,0,0,0,1,2,4,4,23,65,0,99
Se29 肝疾患,2012,7,2012-07-01,0,0,1,0,1,1,3,17,34,52,74,109,137,130,129,138,149,119,51,14,3,0,1,2,20,86,183,267,267,336,0,1162
Se30 腎不全,2012,7,2012-07-01,0,0,0,0,0,0,1,4,1,6,7,18,50,62,102,238,326,457,309,149,26,0,0,0,5,7,25,112,340,1267,0,1756
Se31 老衰,2012,7,2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,95,390,920,1370,1221,475,0,0,0,0,0,0,2,113,4376,0,4491
Se32 不慮の事故,2012,7,2012-07-01,20,14,7,51,36,36,37,57,71,74,84,115,176,176,248,329,435,409,259,112,16,34,58,72,94,145,199,352,577,1231,6,2768
Se33 交通事故,2012,7,2012-07-01,3,5,2,27,16,18,15,32,27,31,19,32,45,32,55,51,52,38,12,2,0,8,29,34,47,58,51,77,106,104,0,514
Se34 自殺,2012,7,2012-07-01,0,0,7,50,112,124,129,181,178,177,204,175,220,192,179,140,104,66,21,7,0,0,57,236,310,355,379,412,319,198,9,2275
総数,2012,8,2012-08-01,228,30,45,136,190,277,315,581,850,1130,1707,2698,5432,6533,8932,12758,17010,17671,13004,6169,1560,258,181,467,896,1980,4405,11965,21690,55414,60,97316
Se01 結核,2012,8,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,2,7,10,9,15,39,51,30,7,1,0,0,0,0,0,2,17,24,128,0,171
Se02 悪性新生物＜腫瘍＞,2012,8,2012-08-01,8,4,5,19,16,36,42,136,253,391,707,1287,2862,3310,4267,5282,5432,4147,2046,632,76,12,24,52,178,644,1994,6172,9549,12333,4,30962
Se03 食道の悪性新生物＜腫瘍＞,2012,8,2012-08-01,0,0,0,0,0,0,0,1,3,13,28,47,131,174,183,148,147,73,31,12,0,0,0,0,1,16,75,305,331,263,0,991
Se04 胃の悪性新生物＜腫瘍＞,2012,8,2012-08-01,0,0,0,0,0,3,5,22,28,47,82,152,384,437,567,729,750,573,314,95,9,0,0,3,27,75,234,821,1296,1741,0,4197
Se05 結腸の悪性新生物＜腫瘍＞,2012,8,2012-08-01,0,0,0,0,0,6,6,5,18,34,58,98,206,254,358,467,497,442,266,96,14,0,0,6,11,52,156,460,825,1315,1,2826
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,2012,8,2012-08-01,0,0,0,0,0,2,1,5,18,18,31,81,163,175,217,191,189,137,77,27,4,0,0,2,6,36,112,338,408,434,1,1337
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,2012,8,2012-08-01,0,0,0,0,1,2,1,6,12,15,35,105,253,255,413,511,492,285,144,28,3,0,0,3,7,27,140,508,924,952,0,2561
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,2012,8,2012-08-01,0,0,0,0,0,0,1,0,1,12,23,37,95,110,184,299,309,312,158,49,8,0,0,0,1,13,60,205,483,836,0,1598
Se09 膵の悪性新生物＜腫瘍＞,2012,8,2012-08-01,0,0,0,1,0,0,0,6,16,25,54,129,248,333,348,454,424,362,146,32,3,0,1,0,6,41,183,581,802,967,1,2582
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,2012,8,2012-08-01,0,0,0,0,1,0,3,14,22,48,94,193,559,705,888,1146,1140,804,328,91,13,0,0,1,17,70,287,1264,2034,2376,0,6049
Se11 乳房の悪性新生物＜腫瘍＞,2012,8,2012-08-01,0,0,0,0,0,0,2,18,40,45,106,113,181,114,124,106,93,77,48,21,4,0,0,0,20,85,219,295,230,243,0,1092
Se12 子宮の悪性新生物＜腫瘍＞,2012,8,2012-08-01,0,0,0,0,1,3,3,14,18,36,33,45,66,56,63,40,67,58,21,14,1,0,0,4,17,54,78,122,103,161,0,539
Se13 白血病,2012,8,2012-08-01,4,0,1,6,6,5,3,6,9,15,18,39,69,80,104,130,92,69,25,3,1,4,7,11,9,24,57,149,234,190,0,685
Se14 糖尿病,2012,8,2012-08-01,0,0,0,0,0,1,3,4,6,15,17,32,69,76,119,189,215,183,109,38,3,0,0,1,7,21,49,145,308,548,1,1080
Se15 高血圧性疾患,2012,8,2012-08-01,0,0,0,0,0,0,0,0,2,2,6,11,21,16,33,44,69,128,112,75,27,0,0,0,0,4,17,37,77,411,0,546
Se16 心疾患（高血圧性を除く）,2012,8,2012-08-01,2,1,5,2,11,15,21,60,100,136,179,304,615,731,1037,1521,2270,2755,2409,1193,265,3,7,26,81,236,483,1346,2558,8892,4,13636
Se17 急性心筋梗塞,2012,8,2012-08-01,0,0,0,0,0,5,2,15,29,41,55,104,174,202,284,375,487,471,308,115,14,0,0,5,17,70,159,376,659,1395,0,2681
Se18 その他の虚血性心疾患,2012,8,2012-08-01,0,0,0,0,1,2,6,13,33,30,47,86,177,174,249,329,413,401,286,114,21,0,0,3,19,63,133,351,578,1235,3,2385
Se19 不整脈及び伝導障害,2012,8,2012-08-01,0,0,3,1,5,3,4,14,13,20,37,51,90,108,143,211,313,387,311,164,27,0,4,8,18,33,88,198,354,1202,1,1906
Se20 心不全,2012,8,2012-08-01,1,0,0,1,2,2,5,13,15,28,21,44,114,153,243,445,803,1166,1220,690,189,1,1,4,18,43,65,267,688,4068,0,5155
Se21 脳血管疾患,2012,8,2012-08-01,0,0,0,3,0,3,19,38,54,98,117,192,303,469,650,1127,1731,1895,1487,643,147,0,3,3,57,152,309,772,1777,5903,2,8978
